MPN,Manufacturer,Description,DatasheetURL,ProductURL
HCPL-7800A-000E,Broadcom Limited,IC OPAMP ISOLATION 1 CIRC 8DIP,https://docs.broadcom.com/doc/HCPL-7800-7800A-Isolation-Amplifier-DS,https://www.digikey.com/en/products/detail/broadcom-limited/HCPL-7800A-000E/696052
EVQ-P7A01P,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,https://api.pim.na.industrial.panasonic.com/file_stream/main/fileversion/245500,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EVQ-P7A01P/4429447
