Partlist

Exported from Schematic v15.sch at 10/10/2025 2:30 PM

EAGLE Version 9.7.0 Copyright (c) 1988-2025 Autodesk, Inc.

Assembly variant: 

Part     Value                                   Device                                  Package                  Library                     Sheet
U$4      SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$5      SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$6      SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$7      SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$8      SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$9      SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$10     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$11     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$12     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$13     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$14     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$15     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$16     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$17     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$18     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$19     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$20     SERVO_PIN_CONNECT                       SERVO_PIN_CONNECT                       SERVO_FOOTPRINT          Ryans Electronics Library   1
U$21     1000UF_ELECTROLYTIC                     1000UF_ELECTROLYTIC                     1000UF_ELECTROLYTIC      LibraryA                    1
U1       TPS568230RJERRJE0020A                   TPS568230RJERRJE0020A                   RJE0020A                 2025-03-29_00-47-40_Library 1
U2       BD33FC0FP-E2TO252-3_ROM                 BD33FC0FP-E2TO252-3_ROM                 TO252-3_ROM              LibraryA                    1
U3       ESP32-S3-WROOM-1-N4                     ESP32-S3-WROOM-1-N4                     XCVR_ESP32-S3-WROOM-1-N4 ESP32-S3-WROOM-1-N4         1
U4                                               PCA9685                                 TSSOP28                  adafruit                    1
U5       TPS54531DDAR                            TPS54531DDAR                            CONV_TPS54531DDAR        LibraryA                    1
U6       USB_ESD_PRTR5V0U2F,115FNL6_SOT886_NEX-M USB_ESD_PRTR5V0U2F,115FNL6_SOT886_NEX-M FNL6_SOT886_NEX-M        Library                     1
U7                                               PCA9685                                 TSSOP28                  adafruit                    1
